COMM_NAME,COMM_CODE,COMM_WT,INDEX2013,INDEX2014,INDEX2015,INDEX2016,INDEX2017,INDEX2018,INDEX2019,INDEX2020,INDEX2021,INDEX2022,INDEX2023,INDEX2024
All commodities,1000000000,100.00000,111.1,114.8,110.3,110.3,114.1,118.9,121.2,121.8,135.0,151.3,151.3,154.0
I    PRIMARY ARTICLES,1100000000,22.61756,120.7,125.2,123.9,127.9,130.2,132.9,141.2,144.7,155.1,175.4,181.1,191.2
(A).  FOOD ARTICLES,1101000000,15.25585,122.3,129.8,133.7,139.7,142.8,142.3,152.9,160.4,163.8,177.8,188.2,203.6
a.  FOOD GRAINS (CEREALS+PULSES),1101010000,3.46238,122.7,127.8,134.2,149.8,145.0,143.5,157.2,160.6,161.2,174.0,189.8,207.4
a1. CEREALS,1101010100,2.82378,124.3,130.0,129.9,139.9,143.6,147.8,160.3,160.6,158.2,173.6,188.6,203.6
Paddy,1101010101,1.43052,125.5,136.3,134.1,141.0,148.0,154.1,159.3,163.4,162.1,167.5,181.9,199.8
Wheat,1101010102,1.02823,123.4,124.1,126.4,138.7,140.5,145.6,156.6,157.0,155.7,177.8,192.1,203.5
Jowar,1101010103,0.06764,98.7,112.7,114.3,120.1,127.5,122.9,156.0,158.6,143.6,165.5,219.6,216.0
Bajra,1101010104,0.08637,132.9,131.6,128.6,153.3,144.8,138.3,189.5,173.0,157.4,204.5,229.1,244.7
Maize,1101010105,0.18927,123.8,118.5,121.7,137.0,129.2,123.3,172.6,151.3,145.4,179.8,187.4,206.0
Barley,1101010106,0.01437,118.2,124.2,127.7,150.1,145.3,144.6,168.1,162.4,160.0,222.0,204.8,206.9
Ragi,1101010107,0.00738,169.7,160.0,160.2,178.2,242.4,212.6,223.3,224.6,230.2,221.2,245.7,304.4
a2. PULSES,1101010200,0.63860,115.8,117.9,153.6,193.7,151.2,124.3,143.5,160.8,174.6,175.9,194.9,224.1
Gram,1101010201,0.26377,114.9,101.4,132.7,204.3,182.5,133.2,145.8,149.4,165.7,163.4,175.9,210.7
Arhar,1101010202,0.12914,116.4,122.9,176.1,199.7,121.1,114.4,144.7,160.9,176.3,183.1,234.6,284.0
Moong,1101010203,0.07088,119.6,139.3,163.4,148.1,115.0,116.1,135.5,167.0,166.6,166.5,186.9,197.8
Masur,1101010204,0.05299,128.4,146.9,183.1,184.1,143.9,121.4,135.3,155.3,183.1,202.3,191.2,188.4
Urad,1101010205,0.09165,97.6,117.8,162.8,212.1,139.6,111.8,135.5,182.5,188.1,179.4,197.4,220.4
Peas/Chawali,1101010206,0.02444,139.9,131.1,132.8,139.9,133.7,156.6,184.3,197.1,207.5,213.5,200.0,216.0
Rajma,1101010207,0.00573,169.9,171.8,155.8,157.2,158.2,134.0,135.0,147.7,209.0,248.0,243.0,236.6
b.  FRUITS & VEGETABLES,1101020000,3.47508,138.9,143.0,140.5,140.0,152.0,146.9,169.0,180.4,179.3,204.6,206.0,238.7
b1. VEGETABLES,1101020100,1.87448,163.0,155.8,147.5,141.5,159.2,147.7,186.3,208.5,192.8,224.5,225.9,275.8
Potato,1101020101,0.27737,171.4,235.2,125.7,183.4,112.9,187.9,170.3,307.2,188.7,242.9,190.2,314.3
Sweet Potato,1101020102,0.02051,99.4,124.7,71.1,71.0,71.0,71.0,67.7,69.7,77.8,99.7,93.9,94.1
Onion,1101020103,0.16445,282.3,181.2,263.1,127.4,177.7,173.1,253.0,259.7,251.2,196.1,231.5,331.5
Tapioca,1101020104,0.07213,166.8,161.1,110.2,148.5,190.7,136.0,154.7,173.7,151.7,232.4,243.0,236.5
Ginger (Fresh),1101020105,0.02124,251.3,285.0,201.1,148.7,128.7,183.5,317.6,218.0,138.8,146.2,413.7,400.5
Peas (Green),1101020106,0.13654,140.0,142.7,184.6,169.5,135.9,170.8,171.1,166.9,192.2,199.5,201.3,265.9
Tomato,1101020107,0.28446,160.9,149.6,175.7,133.3,224.1,138.2,246.4,258.8,256.7,300.0,335.9,374.7
Cauliflower,1101020108,0.16697,127.7,119.3,113.7,120.6,112.2,120.6,179.3,187.5,204.2,233.4,189.9,236.9
Brinjal,1101020109,0.24125,140.4,114.5,118.7,132.1,166.4,157.0,179.8,174.6,189.6,216.6,226.7,246.4
Okra (Lady finger),1101020110,0.14592,103.5,101.0,92.9,89.0,117.2,121.6,131.7,137.5,164.4,159.3,178.3,183.6
Cabbage,1101020111,0.12251,167.9,142.3,157.0,159.9,198.2,136.4,166.4,147.7,129.5,209.2,146.8,211.8
Carrot,1101020112,0.01874,125.6,146.7,148.8,157.1,131.9,116.5,150.8,159.0,153.3,204.6,179.0,212.7
Radish,1101020113,0.03942,140.5,117.9,104.5,136.5,115.8,103.7,136.2,144.8,152.0,213.8,184.7,198.1
Cucumber,1101020114,0.00906,119.2,112.7,125.7,129.5,133.9,136.0,173.0,160.3,167.7,165.7,164.1,179.7
Pointed gourd,1101020115,0.00210,151.3,131.0,120.9,105.2,113.1,107.6,133.6,138.3,150.5,177.6,164.4,162.5
Bitter gourd,1101020116,0.02261,146.7,152.0,156.1,164.2,159.7,108.8,150.5,129.6,146.3,200.8,215.5,250.6
Bottle gourd,1101020117,0.02323,171.1,151.9,138.3,139.5,123.4,130.9,153.7,147.7,152.6,170.2,161.5,201.4
Beans,1101020118,0.08309,132.5,121.8,130.5,141.0,153.2,98.5,134.6,142.8,155.8,171.9,197.9,207.3
Pumpkin,1101020119,0.00465,157.6,144.5,132.1,136.5,139.0,128.9,153.3,172.0,152.5,185.2,156.7,194.0
